Component,Description,Part,References,Value,Footprint,Quantity Per PCB,Datasheet,ust_id,height,manufacturer_name,manufacturer_part_number,sim.device,sim.pins,sim.type
1,,C_Small-Device-ISM02A-rescue,C2C10,100nF,C_0805_2012Metric,2,,5c70984812875079b91f8bf2,,,,,,
2,,C_Small-Device-ISM02A-rescue,C1C9,10uF,C_0805_2012Metric,2,,5c70984812875079b91f8bbe,,,,,,
3,"Unpolarized capacitor, small symbol",C_Small,C8,10uF,C_0805_2012Metric,1,~,,,,,,,
4,"Unpolarized capacitor, small symbol",C_Small,C3C4C5C6C7,C_Small,C_0805_2012Metric,5,~,,,,,,,
5,,D_ZENER-MLAB_D,D1D2,"BZV55C-5,6V",D_SMA,2,,5c70984512875079b91f88b2,,,,,,
6,Light emitting diode,LED,D3D4,LED,LED_1206_mill,2,~,,,,,,,
7,Hi-Speed USB-to-SD Card Readers with Bypass,MAX14502AETL+,IC1,MAX14502AETL+,QFN40P500X500X80-41N,1,https://datasheet.octopart.com/MAX14502AETL%2B-Dallas-Semiconductor-datasheet-13718882.pdf,,0.8,Analog Devices,MAX14502AETL+,,,
8,"2x03 2.54 mm pitch header, 2 pins next to each other are connected",HEADER_2x03_PARALLEL,J1,3.3V,Straight_2x03,1,,,,,,,,
9,1x03 2.54 mm pitch header,HEADER_1x03,J8,HEADER_1x02,PinHeader_1x03_P2.54mm_Vertical,1,,,,,,,,
10,"2x06 2.54 mm pitch header, 2 pins next to each other are connected",HEADER_2x06_PARALLEL,J7,HEADER_2x04_PARALLEL,PinHeader_2x06_P2.54mm_Vertical,1,,,,,,,,
11,"2x05 2.54 mm pitch header, 2 pins next to each other are connected",HEADER_2x05_PARALLEL,J6,HEADER_2x05_PARALLEL,PinHeader_2x05_P2.54mm_Vertical,1,,,,,,,,
12,"2x07 2.54 mm pitch header, 2 pins next to each other are connected",HEADER_2x07_PARALLEL,J5,HEADER_2x07_PARALLEL,PinHeader_2x07_P2.54mm_Vertical,1,,,,,,,,
13,,SD_Card-FPS009-4200-0,J9,SD_Card-FPS009-4200-0,FPS009-4200-0,1,,,,,,,,
14,USB Type A connector,USB_A,J3,USB_A,USB_A_CONNFLY_DS1095-WNR0,1, ~,,,,,,,
15,USB Type B connector,USB_B,J2,USB_B,USB_B_Lumberg_2411_02_Horizontal,1, ~,,,,,,,
16,"2x03 2.54 mm pitch header, 2 pins next to each other are connected",HEADER_2x03_PARALLEL,J4,VBUS,Straight_2x03,1,,,,,,,,
17,"Inductor, small symbol",L_Small,L1,1uH,L_1008_2520Metric,1,~,,,,,,,
18,"Bipolar transistor symbol for simulation only, substrate tied to the emitter",NPN,Q1Q2,NPN,SOT-23-3,2,~,,,,,NPN,1=C 2=B 3=E,GUMMELPOON
19,"Resistor, small symbol",R_Small,R1,6.19k,R_0805_2012Metric,1,~,,,,,,,
20,"Resistor, small symbol",R_Small,R2R3R4R5R12R13,10k,R_0805_2012Metric,6,~,,,,,,,
21,"Resistor, small symbol",R_Small,R6R8R9R10R11,R_Small,R_0805_2012Metric,5,~,,,,,,,
22,,TS5A4594,U1,TS5A4594,SOT-23-5,1,,,,,,,,
